                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.885,                 3.1359,                 1.8527,                0.00333,                   0.96,                0.03428,                0.01665,                 1.4774,                 3.9558,                 1.6399,                  4e-05,                  4e-05,                  4e-05
                      2,                  1.832,                 2.9278,                 1.8243,                0.00347,                      1,                0.09617,                 0.0487,                 1.3804,                 3.7492,                 1.5838,              9.505e-05,              9.505e-05,              9.505e-05
                      3,                  1.667,                  2.787,                 1.6417,                0.00347,                      1,                0.10504,                0.04709,                 1.3362,                 3.7018,                  1.495,             0.00014416,             0.00014416,             0.00014416
                      4,                 1.6066,                 2.5916,                 1.5859,                0.00347,                      1,                 0.1297,                0.05351,                 1.4255,                 3.5859,                  1.603,             0.00018733,             0.00018733,             0.00018733
                      5,                 1.6556,                 2.1868,                 1.5922,                0.00347,                      1,                0.16565,                0.07495,                 1.4034,                 3.5979,                 1.6748,             0.00022456,             0.00022456,             0.00022456
                      6,                 1.5648,                 2.2128,                 1.5272,                0.00347,                      1,                0.15657,                0.07717,                 1.3366,                 3.6012,                  1.623,             0.00025585,             0.00025585,             0.00025585
                      7,                 1.5331,                 2.3469,                 1.5628,                0.00347,                      1,                0.18087,                0.08025,                  1.356,                 3.6513,                 1.6834,              0.0002812,              0.0002812,              0.0002812
                      8,                 1.4597,                 2.0904,                 1.5285,                0.00347,                      1,                0.21809,                 0.0998,                 1.3901,                 3.6922,                 1.6931,             0.00030061,             0.00030061,             0.00030061
                      9,                 1.5766,                 2.1852,                  1.595,                0.40175,                   0.08,                   0.18,                0.08241,                 1.5556,                 3.7481,                 1.8157,             0.00031408,             0.00031408,             0.00031408
                     10,                 1.4054,                 2.0237,                 1.4464,                0.65371,                0.07689,                0.16592,                0.07469,                 1.6071,                 3.6558,                 1.8286,             0.00032161,             0.00032161,             0.00032161
                     11,                 1.4554,                 2.3738,                 1.5929,                0.66315,                0.07916,                0.18652,                0.08629,                 1.4603,                 3.5762,                 1.7426,              0.0003232,              0.0003232,              0.0003232
                     12,                 1.4519,                 2.3713,                 1.7124,                0.36128,                   0.04,                0.22552,                0.10692,                 1.4264,                 3.5339,                 1.6934,             0.00031885,             0.00031885,             0.00031885
                     13,                 1.2534,                 2.2539,                 1.4581,                0.51546,                0.08618,                0.22001,                0.10971,                 1.5145,                  3.627,                 1.7463,             0.00030856,             0.00030856,             0.00030856
                     14,                 1.3678,                 2.3039,                 1.5425,                0.43795,                   0.08,                0.24689,                0.11972,                 1.5623,                 3.7097,                 1.8001,             0.00029233,             0.00029233,             0.00029233
                     15,                 1.2663,                 2.1691,                  1.436,                0.53215,                0.13801,                0.22548,                0.10013,                  1.659,                 3.8663,                 1.9245,             0.00027016,             0.00027016,             0.00027016
                     16,                 1.3161,                 2.1812,                  1.504,                 0.4659,                   0.12,                 0.2173,                0.08195,                 1.6475,                 3.8686,                 1.8997,             0.00024205,             0.00024205,             0.00024205
                     17,                 1.3048,                 2.1121,                 1.4809,                0.42281,                   0.24,                0.22102,                0.08951,                 1.6459,                 3.7226,                 1.8874,               0.000208,               0.000208,               0.000208
                     18,                 1.2517,                 1.9538,                 1.3962,                0.46752,                   0.24,                0.23883,                0.10897,                 1.5844,                  3.651,                  1.805,             0.00016801,             0.00016801,             0.00016801
                     19,                 1.2203,                 1.8723,                 1.3051,                0.46433,                   0.24,                0.24571,                0.10977,                 1.5615,                 3.6009,                 1.7499,             0.00012208,             0.00012208,             0.00012208
                     20,                 1.1808,                 1.8999,                 1.3469,                0.46825,                   0.24,                0.25628,                0.10583,                 1.5564,                 3.5528,                 1.7264,              7.021e-05,              7.021e-05,              7.021e-05
